1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,බඩේ අමාරුව,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වායූන්_ඡේදය,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,උදරයේ වේදනාව,වාතය පිටවීම,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,අජීර්ණය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වාතය පිටවීම,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වාතය පිටවීම,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,උදරයේ වේදනාව,වායූන්_ඡේදය,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,ආහාර රුචිය නැති වීම,වායූන්_ඡේදය,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,අභ්යන්තර කැසීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වාතය පිටවීම,,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වාතය පිටවීම,අභ්යන්තර කැසීම,,,,,,,,,,,
පෙප්ටික් වණ රෝගය,වමනය,අජීර්ණය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,වායූන්_ඡේදය,අභ්යන්තර කැසීම,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශි_නාස්‍ය වීම,උගුරේ පැච්,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,
ඒඩ්ස්,උගුරේ පැච්,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශී_නාස්‍ය වීම,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශී_නාස්‍ය වීම,උගුරේ පැච්,ලිංගික සම්බන්දතා,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශි_නාස්‍ය වීම,උගුරේ පැච්,අධික උණ,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශි_නාස්‍ය වීම,උගුරේ පැච්,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශි_නාස්‍ය වීම,උගුරේ පැච්,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,
ඒඩ්ස්,උගුරේ පැච්,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශී_නාස්‍ය වීම,අධික උණ,ලිංගික සම්බන්දතා,,,,,,,,,,,,,,
ඒඩ්ස්,මාංශ පේශි_නාස්‍ය වීම,උගුරේ පැච්,අධික උණ,,,,,,,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,
දියවැඩියාව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,පෙනීමේ දුර්වලතා ,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,තරබාරුකම,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
දියවැඩියාව,තෙහෙට්ටුව,බර අඩුවීම,අවිවේකී බව,කම්මැලිකම,අක්‍රමවත් සීනි මට්ටම,පෙනීමේ දුර්වලතා ,තරබාරුකම,වැඩි ආහාර රුචිය,නිතර මුත්‍රා කිරීම,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,විජලනය,පාචනය,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,විජලනය,පාචනය,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,අදුරු පැහැ ඇස් ,විජලනය,පාචනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,විජලනය,පාචනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,පාචනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,විජලනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,විජලනය,පාචනය,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,අදුරු පැහැ ඇස් ,විජලනය,පාචනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,විජලනය,පාචනය,,,,,,,,,,,,,,
ආමාශ ආන්ත්රයික රෝග,වමනය,අදුරු පැහැ ඇස් ,පාචනය,,,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,කැස්ස,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,අධික උණ,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,අධික උණ,හුස්ම හිරවීම,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,කැස්ස,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,කැස්ස,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
බ්රොන්පයිල් ඇදුම,තෙහෙට්ටුව,අධික උණ,හුස්ම හිරවීම,පවුලේ ඉතිහාසය,සුදු පැහැ සෙම,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,
අධි රුධිර පීඩනය,පපුවේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,ක්ලාන්තය,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,ක්ලාන්තය,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,
අධි රුධිර පීඩනය,පපුවේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
අධි රුධිර පීඩනය,හිසරදය,පපුවේ වේදනාව,සමබරතාව නැතිවීම,අවදානය අඩු බව ,,,,,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,
ඉරුවාරදය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,මානසික ආතතිය,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,නුරුස්නා බව,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,දෘශ්‍ය ආබාධ,,,,,,,,,
ඉරුවාරදය,ආම්ලිකතාවය,අජීර්ණය,හිසරදය,පෙනීමේ දුර්වලතා ,අඩික බඩගින්න,බෙල්ලේ අමාරුව,මානසික ආතතිය,නුරුස්නා බව,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,ක්ලාන්තය,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,සමබරතාව නැතිවීම,සමබරතාව නැතිවීම,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,අත් පා වල දුර්වලතාවය,බෙල්ලේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,,,,,,,,,,,,,
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,කොන්දේ වේදනාව,බෙල්ලේ වේදනාව,ක්ලාන්තය,සමබරතාව නැතිවීම,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),හිසරදය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,ඇගේ පැත්තක් දුර්වල වීම,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
අංශභාගය (මොළයේ රුධිර වහනය),වමනය,හිසරදය,මානසික ව්‍යාකූලත්වය,,,,,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,
සෙංගමාලය,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,අඳුරු පැහැ මුත්‍රා ,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,උදරයේ වේදනාව,,,,,,,,,,
සෙංගමාලය,කැසීම,වමනය,තෙහෙට්ටුව,බර අඩුවීම,අධික උණ,කහ පැහැති සම,අඳුරු පැහැ මුත්‍රා ,,,,,,,,,,
මැලේරියාව,සිතල,වමනය,අධික උණ,දහඩිය දැමීම,හිසරදය,ඔක්කාරය,මාංශ පේශී වේදනාව,,,,,,,,,,
මැලේරියාව,සිතල,වමනය,අධික උණ,දහඩිය දැමීම,හිසරදය,ඔක්කාරය,පාචනය,මාංශ පේශී වේදනාව,,,,,,,,,
මැලේරියාව,සිතල,වමනය,අධික උණ,දහඩිය දැමීම,හිසරදය,ඔක්කාරය,පාචනය,මාංශ පේශී වේදනාව,,,,,,,,,
මැලේරියාව,වමනය,අධික උණ,දහඩිය දැමීම,හිසරදය,ඔක්කාරය,පාචනය,මාංශ පේශි වේදනාව,,,,,,,,,,
මැලේරියාව,සිතල,අධික උණ,දහඩිය දැමීම,හිසරදය,ඔක්කාරය,පාචනය,මාංශ පේශි වේදනාව,,,,,,,,,,
