හයිපොග්ලිසිමියා,Hypoglycemia යනු ඔබේ රුධිරයේ සීනි (ග්ලූකෝස්) මට්ටම සාමාන්‍ය මට්ටමට වඩා අඩු මට්ටමක පවතින තත්වයකි. ග්ලූකෝස් ඔබේ ශරීරයේ ප්‍රධාන ශක්ති ප්‍රභවයයි. හයිපොග්ලිසිමියා බොහෝ විට දියවැඩියා ප්‍රතිකාරයට සම්බන්ධ වේ. නමුත් වෙනත් ඖෂධ සහ විවිධ තත්වයන් - බොහෝ දුර්ලභ - දියවැඩියාව නොමැති පුද්ගලයින්ගේ අඩු රුධිර සීනි ඇති විය හැක.
කුරුලෑ,"කුරුලෑ vulgaris යනු pilosebaceous ඒකක (රෝම කූප සහ ඒවා ආශ්‍රිත sebaceous ග්‍රන්ථිය) අවහිර වීම සහ දැවිල්ල හේතුවෙන් comedones, papules, pustules, nodules, සහ/හෝ cysts සෑදීමයි. මුහුණේ සහ ඉහළ කඳේ කුරුලෑ වර්ධනය වේ. එය බොහෝ විට නව යොවුන් වියේ දරුවන්ට බලපායි."
දියවැඩියාව,"දියවැඩියා රෝගය යනු ඔබේ රුධිර ග්ලූකෝස්, රුධිරයේ සීනි ලෙසද හඳුන්වනු ලබන අතර එය ඉතා ඉහළ මට්ටමක පවතින විට ඇති වන රෝගයකි. රුධිර ග්ලූකෝස් ඔබේ ප්‍රධාන ශක්ති ප්‍රභවය වන අතර ඔබ ගන්නා ආහාර වලින් පැමිණේ. අග්න්‍යාශය මඟින් නිපදවන හෝමෝනයක් වන ඉන්සියුලින්, ආහාර වලින් ග්ලූකෝස් ඔබේ සෛල තුළට ඇතුළු වී ශක්තිය සඳහා යොදා ගැනීමට උපකාරී වේ."
ඉම්පෙටිගෝ,"Impetigo (im-puh-TIE-go) යනු ප්‍රධාන වශයෙන් ළදරුවන්ට සහ දරුවන්ට බලපාන සුලභ හා ඉතා බෝවන සමේ ආසාදනයකි. ඉම්පෙටිගෝ සාමාන්‍යයෙන් මුහුණේ, විශේෂයෙන් දරුවාගේ නාසය සහ මුඛය වටා සහ අත් සහ පාදවල රතු තුවාල ලෙස පෙනේ. වණ පුපුරා මී පැණි පාට කබොල වර්ධනය වේ."
අධි රුධිර පීඩනය,අධි රුධිර පීඩනය (HBP) ලෙසද හැඳින්වෙන අධි රුධිර පීඩනය (HTN හෝ HT) යනු ධමනි වල රුධිර පීඩනය අඛණ්ඩව ඉහළ යන දිගු කාලීන රෝගී තත්වයකි. අධි රුධිර පීඩනය සාමාන්යයෙන් රෝග ලක්ෂණ ඇති නොකරයි.
පෙප්ටික් වණ රෝගය,"පෙප්ටික් වණ රෝගය (PUD) යනු ආමාශයේ අභ්‍යන්තර ශ්ලේෂ්මල පටලය, කුඩා අන්ත්‍රයේ පළමු කොටස හෝ සමහර විට පහළ esophagus හි කැඩී යාමයි. ආමාශයේ ඇති වන තුවාලයක් ආමාශයික තුවාලයක් ලෙස හැඳින්වෙන අතර, බඩවැල්වල පළමු කොටසේ එක් duodenal තුවාලයක් වේ."
ඩිමෝර්ෆික් අහුපෑවත (පයිල්ස්),"Hemorrhoids, hemorrhoids ලෙසද හැඳින්වේ, ගුද මාර්ගයේ ඇති සනාල ව්යුහයන් වේ. ඔවුන්ගේ ... වෙනත් නම්, අර්ශස්, ගොඩවල්, අර්ශස් රෝගය ."
සෙම්ප්‍රතිශ්‍යාව,සෙම්ප්‍රතිශ්‍යාව යනු ඔබේ නාසයේ සහ උගුරේ (ඉහළ ශ්වසන පත්‍රිකාවේ) වෛරස් ආසාදනයකි. එය සාමාන්‍යයෙන් හානිකර නොවන නමුත් එය එසේ දැනෙන්නේ නැත. බොහෝ වෛරස් වර්ග සෙම්ප්‍රතිශ්‍යාව ඇති කළ හැක.
පැපොල,"චිකන්පොක්ස් යනු වරිසෙල්ලා-සෝස්ටර් වෛරසය (VZV) මගින් ඇති කරන ඉතා බෝවන රෝගයකි. එය කැසීම, බිබිලි වැනි කැසීම ඇති විය හැක. කැසීම මුලින්ම පපුවේ, පිටේ සහ මුහුණේ දිස්වන අතර පසුව මුළු සිරුර පුරා පැතිරී කැසීම බිබිලි 250ත් 500ත් අතර ප්‍රමාණයක් ඇති කරයි."
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,"ගැබ්ගෙල ස්පොන්ඩිලෝසිස් යනු ඔබේ බෙල්ලේ කොඳු ඇට පෙළට බලපාන වයසට අදාළ ඇඳුම් සහ කඳුළු සඳහා වන සාමාන්‍ය යෙදුමකි. තැටි විජලනය වී හැකිලීමේදී, අස්ථිවල දාර දිගේ අස්ථි ප්‍රක්ෂේපණය ඇතුළුව ඔස්ටියෝ ආතරයිටිස් රෝග ලක්ෂණ වර්ධනය වේ (අස්ථි ස්පර්ස්)."
හයිපර් තයිරොයිඩ්වාදය,"ඔබේ තයිරොයිඩ් ග්‍රන්ථිය තයිරොක්සින් හෝමෝනය වැඩිපුර නිපදවන විට හයිපර් තයිරොයිඩ්වාදය (අධික ක්‍රියාකාරී තයිරොයිඩ්) ඇතිවේ. හයිපර් තයිරොයිඩ්වාදය ඔබේ ශරීරයේ පරිවෘත්තීය වේගවත් කළ හැකි අතර, නොදැනුවත්වම බර අඩු කර ගැනීම සහ වේගවත් හෝ අක්‍රමවත් හෘද ස්පන්දනයක් ඇති කරයි."
මුත්‍රා ආසාදන,"මුත්රා ආසාදන: වකුගඩු, මුත්රාශය, මුත්රාශය හෝ මුත්රා ආසාධනය. සංක්ෂිප්ත UTI. UTI ඇති සෑම කෙනෙකුටම රෝග ලක්ෂණ නොමැත, නමුත් පොදු රෝග ලක්ෂණ අතර නිතර මුත්‍රා කිරීමට පෙළඹවීම සහ මුත්‍රා කරන විට වේදනාව හෝ දැවීම ඇතුළත් වේ."
වරිකොස් නහර,"විශාල වී ඇඹරී ඇති නහරයක්, බොහෝ විට සම හරහා පැහැදිලිව පෙනෙන නිල් පැහැති රුධිර නාලයක් ලෙස පෙනේ. වරිකෝස් නහර බොහෝ විට වැඩිහිටි වැඩිහිටියන්, විශේෂයෙන් කාන්තාවන්, විශේෂයෙන් කකුල් වල දක්නට ලැබේ."
ඒඩ්ස්,"අත්පත් කරගත් ප්‍රතිශක්ති ඌනතා සින්ඩ්‍රෝමය (ඒඩ්ස්) යනු මානව ප්‍රතිශක්ති ඌනතා වෛරසය (HIV) නිසා ඇති වන නිදන්ගත, ජීවිතයට තර්ජනයක් විය හැකි තත්ත්වයකි. ඔබේ ප්‍රතිශක්තිකරණ පද්ධතියට හානි කිරීමෙන් HIV ආසාදනයට හා රෝගවලට එරෙහිව සටන් කිරීමට ඔබේ ශරීරයට ඇති හැකියාවට බාධා කරයි."
අංශභාගය (මොළයේ රුධිර වහනය),"Intracerebral hemorrhage (ICH) යනු හදිසියේම මොළයේ පටක තුලට රුධිරය පුපුරා යාමෙන් ඔබේ මොළයට හානි සිදු වීමයි. රෝග ලක්ෂණ සාමාන්යයෙන් ICH කාලය තුළ හදිසියේම දිස් වේ. ඒවාට හිසරදය, දුර්වලතාවය, ව්‍යාකූලත්වය සහ අංශභාගය, විශේෂයෙන් ඔබේ ශරීරයේ එක් පැත්තක ඇතුළත් වේ."
ටයිපොයිඩ්,"සැල්මොනෙල්ලා ටයිෆි බැක්ටීරියාව ආසාදනය වීමෙන් ඇතිවන උණ මගින් සංලක්ෂිත උග්‍ර රෝගයකි. උණ, හිසරදය, මලබද්ධය, ව්‍යාධිය, මිරිස් සහ මාංශ පේශි වේදනාව සමඟ ටයිපොයිඩ් උණ ද්‍රෝහී ආරම්භයක් ඇත. පාචනය දුර්ලභ වන අතර, වමනය සාමාන්යයෙන් දරුණු නොවේ."
හෙපටයිටිස් බී,"හෙපටයිටිස් B යනු ඔබේ අක්මාවේ ආසාදනයකි. ඉන්ද්‍රියයේ කැළැල් ඇතිවීම, අක්මාව අකර්මණ්‍ය වීම සහ පිළිකා ඇති විය හැක. එය ප්‍රතිකාර නොකළහොත් මාරාන්තික විය හැකිය. හෙපටයිටිස් බී වෛරසය ඇති කෙනෙකුගේ රුධිරය, විවෘත තුවාල හෝ ශරීර තරල සමඟ මිනිසුන් ස්පර්ශ වන විට එය පැතිරෙයි."
දිලීර ආසාදනය,"මිනිසුන් තුළ දිලීර ආසාදන ඇති වන්නේ ආක්‍රමණශීලී දිලීරයක් ශරීරයේ ප්‍රදේශයක් අත්පත් කර ගන්නා විට සහ ප්‍රතිශක්තිකරණ පද්ධතියට හැසිරවීමට නොහැකි තරම් වැඩි වූ විටය. දිලීර වලට වාතය, පස, ජලය සහ ශාකවල ජීවත් විය හැකිය. මිනිස් සිරුරේ ස්වභාවිකව ජීවත් වන සමහර දිලීර ද ඇත. බොහෝ ක්ෂුද්ර ජීවීන් මෙන්, ප්රයෝජනවත් දිලීර සහ හානිකර දිලීර ඇත."
හෙපටයිටිස් සී,"සාමාන්යයෙන් රුධිර පාරවිලයනය (දුර්ලභ), hemodialysis සහ ඉඳිකටු කූරු හරහා පැතිරෙන හෙපටයිටිස් C වෛරසය (HCV) හේතුවෙන් අක්මාවේ දැවිල්ල. හෙපටයිටිස් C අක්මාවට කරන හානිය සිරෝසිස් සහ එහි සංකූලතා මෙන්ම පිළිකා වලටද හේතු විය හැක."
ඉරුවාරදය,"ඉරුවාරදය නිසා සාමාන්‍යයෙන් හිසේ එක් පැත්තක දැඩි ස්පන්දන වේදනාවක් හෝ ස්පන්දන සංවේදනයක් ඇති විය හැක. එය බොහෝ විට ඔක්කාරය, වමනය සහ ආලෝකයට සහ ශබ්දයට අධික සංවේදීතාවයක් සමඟ ඇත. ඉරුවාරදය ප්‍රහාර පැය කිහිපයක් හෝ දින ගණනක් පැවතිය හැකි අතර, වේදනාව ඔබගේ දෛනික ක්‍රියාකාරකම් වලට බාධා වන තරමට දරුණු විය හැක."
බ්රොන්පයිල් ඇදුම,"බ්රොන්පයිල් ඇදුම යනු පෙනහළු වල ශ්වසන මාර්ගය ඉදිමීමට හා පටු වීමට හේතු වන රෝගී තත්වයකි. මෙම ඉදිමීම හේතුවෙන්, වාතයේ ගමන් මාර්ගය අධික ශ්ලේෂ්මල නිපදවන අතර එය හුස්ම ගැනීමට අපහසු වන අතර එමඟින් කැස්ස, කෙටි හුස්ම ගැනීම සහ හුස්ම හිරවීම ඇති වේ. රෝගය නිදන්ගත වන අතර දිනපතා වැඩ කිරීමට බාධා කරයි."
මද්යසාර හෙපටයිටිස්,"මධ්‍යසාර හෙපටයිටිස් යනු දිගු කලක් අධික ලෙස මත්පැන් පානය කිරීම නිසා අක්මාවේ ඇතිවන රෝගී, ගිනි අවුලුවන තත්වයකි. අධික ලෙස මත්පැන් පානය කිරීම සහ අඛණ්ඩ මත්පැන් භාවිතය මගින් ද එය උග්ර වේ. ඔබ මෙම තත්වය වර්ධනය වුවහොත්, ඔබ මත්පැන් පානය නතර කළ යුතුය"
සෙංගමාලය,"බයිල් වර්ණක බිලිරුබින් අසාමාන්‍ය ලෙස ඉහළ රුධිර මට්ටම් හේතුවෙන් සමේ සහ ස්ක්ලෙරා (ඇස්වල සුදු) කහ පැල්ලම්. කහ පැහැය අනෙකුත් පටක සහ ශරීර තරල දක්වා විහිදේ. සෙංගමාලය වරක් ""මෝර්බස් රෙජියස්"" (රාජකීය රෝගය) ලෙස හඳුන්වනු ලැබුවේ රජෙකුගේ ස්පර්ශයෙන් පමණක් එය සුව කළ හැකි බවට විශ්වාසයෙනි."
හෙපටයිටිස් ඊ,හෙපටයිටිස් ඊ වෛරසය (HEV) ආසාදනය වීමෙන් ඇතිවන අක්මා දැවිල්ලේ දුර්ලභ ආකාරයකි. එය සම්ප්‍රේෂණය වන්නේ ආසාදිත පුද්ගලයෙකු විසින් හසුරුවන ආහාර හෝ බීම හරහා හෝ මල අපද්‍රව්‍ය ජලයට ඇතුළු විය හැකි ප්‍රදේශවල ආසාදිත ජල සැපයුම් හරහා ය. හෙපටයිටිස් ඊ නිදන්ගත අක්මා රෝග ඇති නොකරයි.
ඩෙංගු,"aedes මදුරුවන්ගෙන් සම්ප්‍රේෂණය වන ෆ්ලේවි වයිරසයක් (Flavivirus ගණයේ ඩෙංගු වයිරසය) නිසා ඇති වන උග්‍ර බෝවෙන රෝගයක් වන අතර හිසරදය, දරුණු සන්ධි වේදනාව සහ කැසීම මගින් සංලක්ෂිත වේ. - අස්ථි බිඳීමේ උණ, ඩෙංගු උණ ලෙසද හැඳින්වේ."
හෙපටයිටිස් ඩී,"හෙපටයිටිස් ඩී, හෙපටයිටිස් ඩෙල්ටා වයිරසය ලෙසද හැඳින්වේ, එය අක්මාව ආසාධනය කිරීමට හේතු වන ආසාදනයකි. මෙම ඉදිමීම අක්මාවේ ක්‍රියාකාරිත්වය අඩපණ කළ හැකි අතර අක්මාවේ කැළැල් සහ පිළිකා ඇතුළු දිගු කාලීන අක්මා ගැටළු ඇති කරයි. මෙම තත්ත්වය හෙපටයිටිස් ඩී වෛරසය (HDV) මගින් ඇතිවේ."
හෘදයාබාධය,රුධිර සැපයුම නැතිවීම හේතුවෙන් හෘද පේශිවල මරණය. රුධිර සැපයුම නැතිවීම සාමාන්‍යයෙන් සිදුවන්නේ හෘද පේශිවලට රුධිරය සපයන ධමනිවලින් එකක් වන කිරීටක ධමනි සම්පූර්ණයෙන්ම අවහිර වීමෙනි.
නියුමෝනියාව,"නියුමෝනියාව යනු පෙණහලු එකක හෝ දෙකෙහිම ආසාදනයකි. බැක්ටීරියා, වෛරස් සහ දිලීර එයට හේතු වේ. ආසාදනය ඔබේ පෙණහලුවල ඇති වායු මලුවල දැවිල්ල ඇති කරයි, ඒවා ඇල්වෙයෝලි ලෙස හැඳින්වේ. ඇල්වෙයෝලි දියර හෝ සැරව වලින් පුරවා හුස්ම ගැනීමට අපහසු වේ."
ආතරයිටිස්,ආතරයිටිස් යනු ඔබේ සන්ධි එකක හෝ වැඩි ගණනක ඉදිමීම සහ මුදු මොළොක් බව ය. ආතරයිටිස් හි ප්‍රධාන රෝග ලක්ෂණ වන්නේ සන්ධි වේදනාව සහ තද ගතිය වන අතර එය සාමාන්‍යයෙන් වයස සමඟ නරක අතට හැරේ. වඩාත් සුලභ ආතරයිටිස් වර්ග වන්නේ ඔස්ටියෝ ආතරයිටිස් සහ රූමැටොයිඩ් ආතරයිටිස් වේ.
ආමාශ ආන්ත්රයික රෝග,"Gastroenteritis යනු ආහාර ජීර්ණ පත්රිකාවේ, විශේෂයෙන් ආමාශයේ සහ විශාල හා කුඩා අන්ත්රයේ දැවිල්ලකි. වෛරස් හා බැක්ටීරියා ආමාශ ආන්ත්රයික රෝග යනු පාචනය, උදරයේ කැක්කුම, ඔක්කාරය සහ වමනය වැනි රෝග ලක්ෂණ සමඟ සම්බන්ධ වූ බඩවැල් ආසාදන වේ."
ක්ෂය රෝගය,"ක්ෂය රෝගය (TB) යනු සාමාන්‍යයෙන් Mycobacterium tuberculosis (MTB) බැක්ටීරියාව නිසා ඇති වන බෝවන රෝගයකි. ක්ෂය රෝගය සාමාන්‍යයෙන් පෙනහළු වලට බලපාන නමුත් ශරීරයේ අනෙකුත් කොටස් වලටද බලපායි. බොහෝ ආසාදන රෝග ලක්ෂණ නොපෙන්වයි, මෙම අවස්ථාවෙහිදී එය ගුප්ත ක්ෂය රෝගය ලෙස හැඳින්වේ."
